"age","gender","race","income","education","stratum","strata_n","m1Am","m1Bmfit","m1Bmupr","m1Bmlwr","m2Bmfit","m2Bmupr","m2Bmlwr","m2BmfitL","m2BmuprL","m2BmlwrL","m2BmF","mean_bmi","mean_obesity","rank"
"mid","female","white","ihigh","ehigh","midfemalewhiteihighehigh",1303,25.8443205388648,25.8968011292701,26.2974285789628,25.4589901389289,0.169026168521536,0.195844522170761,0.144889144819406,-1.58827221477524,-1.40870709830313,-1.77117751419795,-1.14601806096598,25.8200019895425,16.1166538756715,23
"mid","female","black","ilow","elow","midfemaleblackilowelow",302,28.1711707522959,28.1771970001712,28.7854940917071,27.5986354277474,0.333122753063769,0.388423073426329,0.285467550336018,-0.690934999800053,-0.453852429727432,-0.912201175705005,-0.92285088224971,28.3199759023989,35.0993377483444,161
"mid","female","black","ilow","emid","midfemaleblackilowemid",229,27.5611183005988,27.6157263706392,28.3110203239068,27.0159298630152,0.296257959853243,0.348637862618413,0.245222899524474,-0.863243395929938,-0.598392864003888,-1.12713810649211,-0.956466265098869,27.6696306546871,30.5676855895196,136
"mid","female","black","ilow","ehigh","midfemaleblackilowehigh",53,27.2248025467744,27.3721846522822,28.2959068534189,26.3848554676601,0.267817282164575,0.342850663221865,0.208824122953557,-0.990389419097076,-0.628996680520199,-1.35435832342563,-1.06940358953824,27.4846895434977,30.188679245283,119
"mid","female","black","imid","elow","midfemaleblackimidelow",149,27.9860536446174,28.1054031100769,28.8528788985754,27.3785094973218,0.290869750741127,0.353806598538284,0.236023354675297,-0.885540615606644,-0.588509757412022,-1.17340785890792,-0.833552586517455,28.2467449635424,28.1879194630873,160
"mid","female","black","imid","emid","midfemaleblackimidemid",220,27.6934833653266,27.8281816364734,28.4519321167448,27.1640466884903,0.301564266210311,0.357868780207723,0.249040686760927,-0.838990639876701,-0.546153102874544,-1.10634676205834,-0.867167969366613,27.826248292743,30.4545454545454,150
"mid","female","black","imid","ehigh","midfemaleblackimidehigh",82,27.0990114437263,27.4255691179606,28.2813987790598,26.5524326384519,0.266130286518696,0.341226759452886,0.207901209651534,-1.01237295697596,-0.676595519580295,-1.34602556233661,-0.980105293805983,27.2164693101804,25.609756097561,122
"mid","female","black","ihigh","elow","midfemaleblackihighelow",36,26.9144741034663,27.4905712685066,28.5004615754743,26.514571626626,0.268647599054569,0.349740236795928,0.201468581927896,-0.985539123741704,-0.612227518397073,-1.37779162419752,-0.873658092407009,27.0132099017557,19.4444444444444,129
"mid","female","black","ihigh","emid","midfemaleblackihighemid",99,27.1501238582595,27.4479066596881,28.2771080501011,26.6552086288753,0.285593431358079,0.352914661068897,0.221626796640762,-0.912565658774822,-0.57841077638194,-1.23923375325555,-0.907273475256167,27.2644141997122,28.2828282828283,124
"mid","female","black","ihigh","ehigh","midfemaleblackihighehigh",144,27.4790401224433,27.6321506213694,28.3466382355023,26.9183349971388,0.254497247700848,0.323382065288975,0.202169846686223,-1.04100684398991,-0.739282631233664,-1.35895943517637,-1.02021079969554,27.6328344778489,25,137
"mid","female","brown","ilow","elow","midfemalebrownilowelow",1556,27.9872059806353,27.9731838135044,28.386969755952,27.5672064168231,0.299711981940264,0.331636313709554,0.265391000878089,-0.847570139004288,-0.691608157154685,-1.00570726259001,-1.03881395186191,28.0121937405678,30.2056555269923,156
"mid","female","brown","ilow","emid","midfemalebrownilowemid",1065,27.6392332792758,27.6443942272126,28.0591251569575,27.2069621980948,0.28978694514944,0.325103214892517,0.253502342410742,-0.897217495053944,-0.708179870389779,-1.07226542439327,-1.07242933471107,27.6649814085196,29.2957746478874,140
"mid","female","brown","ilow","ehigh","midfemalebrownilowehigh",204,27.4940207937066,27.4787752155618,28.1656823335603,26.8354744697187,0.261695857310589,0.314334346189164,0.210032196578688,-1.03790370320381,-0.764371845256756,-1.33468536427609,-1.18536665915044,27.6049998148042,27.9411764705882,128
"mid","female","brown","imid","elow","midfemalebrownimidelow",610,28.0031999394238,28.0194502736203,28.5356604245676,27.5474220410203,0.323372421128119,0.367527239015952,0.281075970385972,-0.731685793226808,-0.556657639185973,-0.932636299951748,-0.949515656129659,28.06780265494,33.1147540983606,157
"mid","female","brown","imid","emid","midfemalebrownimidemid",904,27.2904517635701,27.3328630576605,27.7967442883506,26.8548843074797,0.260883224760647,0.297549534777088,0.230203728208169,-1.02960745487166,-0.840117354372871,-1.21679982860045,-0.983131038978817,27.3080799997635,26.1061946902655,118
"mid","female","brown","imid","ehigh","midfemalebrownimidehigh",405,27.195327228005,27.26547863113,27.8320754860725,26.7034222601356,0.241579380953273,0.288560705087061,0.201457800598057,-1.13395236969621,-0.908121670094839,-1.36350979572989,-1.09606836341819,27.226940437818,23.9506172839506,114
"mid","female","brown","ihigh","elow","midfemalebrownihighelow",172,27.3283524527654,27.4528080021524,28.1868994931789,26.7586511865785,0.243975188369071,0.300186017574041,0.195233932820595,-1.12448587290759,-0.84456715260352,-1.41696458433202,-0.989621162019213,27.4282596902896,22.6744186046512,125
"mid","female","brown","ihigh","emid","midfemalebrownihighemid",418,26.9785765001694,27.0671926900425,27.5831423859793,26.5394818438687,0.224352314237107,0.269934247754308,0.187785170630015,-1.2378680278094,-0.987437487794037,-1.46749476347633,-1.02323654486837,26.9921302432779,21.2918660287081,93
"mid","female","brown","ihigh","ehigh","midfemalebrownihighehigh",762,26.4017546522803,26.4635595231202,26.908702833923,26.0107181388299,0.188689561813622,0.221773332097927,0.161185747976176,-1.44990469003993,-1.24151669820854,-1.64562342818329,-1.13617386930774,26.3842611689222,17.8477690288714,56
"old","male","white","ilow","elow","oldmalewhiteilowelow",573,26.1728915275064,26.1662153511951,26.6352485096823,25.6566943212347,0.18068324055034,0.21802327894049,0.149502027449541,-1.52286874473625,-1.30874580337192,-1.74944333039425,-1.38610689969527,26.1364747792186,17.4520069808028,32
"old","male","white","ilow","emid","oldmalewhiteilowemid",108,27.1386443998511,26.9945228379846,27.806631098637,26.2571076227118,0.214777432976535,0.275512973374207,0.164978208247336,-1.29149897425172,-0.985832066546877,-1.61739966306184,-1.41972228254443,27.239910235067,24.0740740740741,87
"old","male","white","ilow","ehigh","oldmalewhiteilowehigh",28,26.8194459406266,26.5761964644145,27.663831383868,25.5625718212701,0.17813105210517,0.24269143682573,0.12987630182508,-1.54413335669501,-1.1134271431798,-1.95994528467328,-1.5326596069838,26.8346276146929,17.8571428571429,63
"old","male","white","imid","elow","oldmalewhiteimidelow",1413,26.2312167527694,26.2459146939483,26.6316645958693,25.8611134541464,0.18760151451043,0.216836119694255,0.16334949401824,-1.46361919219731,-1.29217586134571,-1.63419807412132,-1.29680860396302,26.2178083517013,18.6128803963199,37
"old","male","white","imid","emid","oldmalewhiteimidemid",325,26.7159189956026,26.7376100657569,27.365347967281,26.1382588790862,0.201275476947558,0.249035782608919,0.163423130292235,-1.36839559965188,-1.12377716828374,-1.62903400644022,-1.33042398681218,26.7067368693898,20,76
"old","male","white","imid","ehigh","oldmalewhiteimidehigh",112,27.2159132853268,27.1617515301684,27.9487013451453,26.3813679318361,0.205572739982335,0.264293631786327,0.157677117572905,-1.35608049253795,-0.999231974130864,-1.69881500075536,-1.44336131125154,27.3362818192932,22.3214285714286,101
"old","male","white","ihigh","elow","oldmalewhiteihighelow",1068,26.7341102643901,26.7484704225805,27.1552467252452,26.2874471851146,0.197464437251951,0.229937495815195,0.16957965213757,-1.40007664933929,-1.20768147178225,-1.57297010413684,-1.33691410985257,26.7318769978058,19.6629213483146,77
"old","male","white","ihigh","emid","oldmalewhiteihighemid",736,27.2907816642097,27.2614792309397,27.7333150788518,26.7923192263469,0.243149032158555,0.278265965627942,0.209830848617285,-1.13789963111629,-0.945644409899648,-1.33017495143609,-1.37052949270173,27.3124484978765,25,112
"old","male","white","ihigh","ehigh","oldmalewhiteihighehigh",1045,27.330582857464,27.3220341475233,27.7260477389608,26.8716364619804,0.213268700231529,0.246940656069096,0.182868994588885,-1.30434003714529,-1.10072483247663,-1.48005656353181,-1.4834668171411,27.3470972067485,21.8181818181818,116
"old","male","black","ilow","elow","oldmaleblackilowelow",250,25.6192965934884,25.7456002350614,26.3942743190073,25.1198082111876,0.164395960983642,0.206186493215454,0.128034842756933,-1.6391373861418,-1.35517906691282,-1.91744098385943,-1.26029963842483,25.4629069814413,12.8,19
"old","male","black","ilow","emid","oldmaleblackilowemid",36,26.5701022731435,26.6955990038089,27.7860145268704,25.6872413200638,0.20252180882357,0.268875703778315,0.145053617510642,-1.38347453357293,-0.987553581221018,-1.7638003883053,-1.29391502127399,26.3538209767019,13.8888888888889,72
"old","male","black","ilow","ehigh","oldmaleblackilowehigh",5,26.5503422650754,26.6062308589926,27.8741898391216,25.4313547090624,0.190658541627889,0.272537536937567,0.131528672215849,-1.45086110774606,-1.03287391732453,-1.85516104081086,-1.40685234571336,24.8629723414623,0,67
